text,type
There is a punctuation mark used to signify irony or sarcasm that looks like a backwards question mark ⸮,facts
Lettuce is a member of the sunflower family.,facts
"Researches have found that flossing your teeth can help your memory. Flossing prevents gum disease, which prevents stiff blood vessels, which cause memory issues.",facts
"A cluster of bananas is called a “hand”. Along that theme, a single banana is called a “finger”.",facts
"The Hobbit has been published in two editions. In the first edition, Gollum willingly bet on his ring in the riddle game.",facts
"For nearly 60 years, Texas didn’t have an official state flag between 1879 & 1933. During that time, the Lone Star flag was the active, but unofficial flag.",facts
"A wildlife technician, Richard Thomas, took the famous tongue twister, “how much wood would a woodchuck chuck if a woodchuck could chuck wood” and calculated a rough estimate of what the answer would actually be. It came out to be around 700 pounds.",facts
Red Solo cups are a common souvenir to bring back from the United States. The novelty comes from the cups being used in many party scenes in movies.,facts
Swedish meatballs originated from a recipe King Charles XII brought back from Turkey in the early 1800s.,facts
Those cute furry bits inside a cat’s ear are called “ear furnishings”. They ensure that dirt doesn’t go inside and also helps them to hear well.,facts
Scientists discovered sharks that are living in an active underwater volcano. Divers cannot investigate because they would get burns from the acidity and heat.,facts
There are times when Pluto is closer to the Sun than Neptune – one of these timelines was from 1979 to 1999.,facts
"There is a town in Nebraska called Monowi with a population of one. The only resident is a woman who is the Mayor, Bartender and Librarian.",facts
The Ethiopian calendar is 7.5 years behind the Gregorian calendar due to the fact that it has 13 months.,facts
"In 1994, the company who had a patent on GIFs tried to charge a fee for using GIFS. The PNG was invented as an alternative, and the company backed down.",facts
China is spending $3 billion dollars to build panda shaped solar farms in order to get more young people interested in renewable energy.,facts
Mercury and Venus are the only two planets in our solar system that do not have any moons.,facts
The average American child is given $3.70 per tooth that falls out.,facts
"To properly write adjectives in order, you would list them by amount, value, size, temperature, age, shape, color, origin, and material.",facts
Daniel Radcliffe was allergic to his Harry Potter glasses.,facts
"If you point your car keys to your head, it increases the remote’s signal range.",facts
The world’s largest grand piano was built by a 15-year-old in New Zealand.,facts
German Chocolate Cake is named after an American baker by the name of Samuel German.,facts
"Apple paid a couple $1.7 million dollars for their plot of land, which was only worth $181,700.",facts
There were only 9 developers on the team for GoldenEye 007 for Nintendo 64.,facts
"There is an underwater version of rugby, unsurprisingly called “underwater rugby”.",facts
"When mice live in the wild, they typically only live for about six months.",facts
Saint Lucia is the only country in the world named after a woman.,facts
The scientific term for brain freeze is “sphenopalatine ganglioneuralgia”.,facts
Canadians say “sorry” so much that a law was passed in 2009 declaring that an apology can’t be used as evidence of admission to guilt.,facts
"Back when dinosaurs existed, there used to be volcanoes that were erupting on the moon.",facts
The only letter that doesn’t appear on the periodic table is J.,facts
"One habit of intelligent humans is being easily annoyed by people around them, but saying nothing in order to avoid a meaningless argument.",facts
"If a Polar Bear and a Grizzly Bear mate, their offspring is called a “Pizzy Bear”.",facts
"In 2006, a Coca-Cola employee offered to sell Coca-Cola secrets to Pepsi. Pepsi responded by notifying Coca-Cola.",facts
"There were two AI chatbots created by Facebook to talk to each other, but they were shut down after they started communicating in a language they made for themselves.",facts
